index,name,lr,wd,dim,mask
0,c000_lr0p001_wd0p0005_dim64_mask0p5_seed0,0.001,0.0005,64,0.5
1,c001_lr0p0003_wd0p0001_dim32_mask0p3_seed0,0.0003,0.0001,32,0.3
2,c002_lr0p0003_wd0p0001_dim32_mask0p5_seed0,0.0003,0.0001,32,0.5
3,c003_lr0p0003_wd0p0001_dim32_mask0p7_seed0,0.0003,0.0001,32,0.7
4,c004_lr0p0003_wd0p0001_dim64_mask0p3_seed0,0.0003,0.0001,64,0.3
5,c005_lr0p0003_wd0p0001_dim64_mask0p5_seed0,0.0003,0.0001,64,0.5
6,c006_lr0p0003_wd0p0001_dim64_mask0p7_seed0,0.0003,0.0001,64,0.7
7,c007_lr0p0003_wd0p0001_dim128_mask0p3_seed0,0.0003,0.0001,128,0.3
8,c008_lr0p0003_wd0p0001_dim128_mask0p5_seed0,0.0003,0.0001,128,0.5
9,c009_lr0p0003_wd0p0001_dim128_mask0p7_seed0,0.0003,0.0001,128,0.7
10,c010_lr0p0003_wd0p0005_dim32_mask0p3_seed0,0.0003,0.0005,32,0.3
11,c011_lr0p0003_wd0p0005_dim32_mask0p5_seed0,0.0003,0.0005,32,0.5
12,c012_lr0p0003_wd0p0005_dim32_mask0p7_seed0,0.0003,0.0005,32,0.7
13,c013_lr0p0003_wd0p0005_dim64_mask0p3_seed0,0.0003,0.0005,64,0.3
14,c014_lr0p0003_wd0p0005_dim64_mask0p5_seed0,0.0003,0.0005,64,0.5
15,c015_lr0p0003_wd0p0005_dim64_mask0p7_seed0,0.0003,0.0005,64,0.7
16,c016_lr0p0003_wd0p0005_dim128_mask0p3_seed0,0.0003,0.0005,128,0.3
17,c017_lr0p0003_wd0p0005_dim128_mask0p5_seed0,0.0003,0.0005,128,0.5
18,c018_lr0p0003_wd0p0005_dim128_mask0p7_seed0,0.0003,0.0005,128,0.7
19,c019_lr0p0003_wd0p001_dim32_mask0p3_seed0,0.0003,0.001,32,0.3
20,c020_lr0p0003_wd0p001_dim32_mask0p5_seed0,0.0003,0.001,32,0.5
21,c021_lr0p0003_wd0p001_dim32_mask0p7_seed0,0.0003,0.001,32,0.7
22,c022_lr0p0003_wd0p001_dim64_mask0p3_seed0,0.0003,0.001,64,0.3
23,c023_lr0p0003_wd0p001_dim64_mask0p5_seed0,0.0003,0.001,64,0.5
24,c024_lr0p0003_wd0p001_dim64_mask0p7_seed0,0.0003,0.001,64,0.7
25,c025_lr0p0003_wd0p001_dim128_mask0p3_seed0,0.0003,0.001,128,0.3
26,c026_lr0p0003_wd0p001_dim128_mask0p5_seed0,0.0003,0.001,128,0.5
27,c027_lr0p0003_wd0p001_dim128_mask0p7_seed0,0.0003,0.001,128,0.7
28,c028_lr0p001_wd0p0001_dim32_mask0p3_seed0,0.001,0.0001,32,0.3
29,c029_lr0p001_wd0p0001_dim32_mask0p5_seed0,0.001,0.0001,32,0.5
30,c030_lr0p001_wd0p0001_dim32_mask0p7_seed0,0.001,0.0001,32,0.7
31,c031_lr0p001_wd0p0001_dim64_mask0p3_seed0,0.001,0.0001,64,0.3
32,c032_lr0p001_wd0p0001_dim64_mask0p5_seed0,0.001,0.0001,64,0.5
33,c033_lr0p001_wd0p0001_dim64_mask0p7_seed0,0.001,0.0001,64,0.7
34,c034_lr0p001_wd0p0001_dim128_mask0p3_seed0,0.001,0.0001,128,0.3
35,c035_lr0p001_wd0p0001_dim128_mask0p5_seed0,0.001,0.0001,128,0.5
36,c036_lr0p001_wd0p0001_dim128_mask0p7_seed0,0.001,0.0001,128,0.7
37,c037_lr0p001_wd0p0005_dim32_mask0p3_seed0,0.001,0.0005,32,0.3
38,c038_lr0p001_wd0p0005_dim32_mask0p5_seed0,0.001,0.0005,32,0.5
39,c039_lr0p001_wd0p0005_dim32_mask0p7_seed0,0.001,0.0005,32,0.7
40,c040_lr0p001_wd0p0005_dim64_mask0p3_seed0,0.001,0.0005,64,0.3
41,c041_lr0p001_wd0p0005_dim64_mask0p7_seed0,0.001,0.0005,64,0.7
42,c042_lr0p001_wd0p0005_dim128_mask0p3_seed0,0.001,0.0005,128,0.3
43,c043_lr0p001_wd0p0005_dim128_mask0p5_seed0,0.001,0.0005,128,0.5
44,c044_lr0p001_wd0p0005_dim128_mask0p7_seed0,0.001,0.0005,128,0.7
45,c045_lr0p001_wd0p001_dim32_mask0p3_seed0,0.001,0.001,32,0.3
46,c046_lr0p001_wd0p001_dim32_mask0p5_seed0,0.001,0.001,32,0.5
47,c047_lr0p001_wd0p001_dim32_mask0p7_seed0,0.001,0.001,32,0.7
48,c048_lr0p001_wd0p001_dim64_mask0p3_seed0,0.001,0.001,64,0.3
49,c049_lr0p001_wd0p001_dim64_mask0p5_seed0,0.001,0.001,64,0.5
50,c050_lr0p001_wd0p001_dim64_mask0p7_seed0,0.001,0.001,64,0.7
51,c051_lr0p001_wd0p001_dim128_mask0p3_seed0,0.001,0.001,128,0.3
52,c052_lr0p001_wd0p001_dim128_mask0p5_seed0,0.001,0.001,128,0.5
53,c053_lr0p001_wd0p001_dim128_mask0p7_seed0,0.001,0.001,128,0.7
54,c054_lr0p003_wd0p0001_dim32_mask0p3_seed0,0.003,0.0001,32,0.3
55,c055_lr0p003_wd0p0001_dim32_mask0p5_seed0,0.003,0.0001,32,0.5
56,c056_lr0p003_wd0p0001_dim32_mask0p7_seed0,0.003,0.0001,32,0.7
57,c057_lr0p003_wd0p0001_dim64_mask0p3_seed0,0.003,0.0001,64,0.3
58,c058_lr0p003_wd0p0001_dim64_mask0p5_seed0,0.003,0.0001,64,0.5
59,c059_lr0p003_wd0p0001_dim64_mask0p7_seed0,0.003,0.0001,64,0.7
60,c060_lr0p003_wd0p0001_dim128_mask0p3_seed0,0.003,0.0001,128,0.3
61,c061_lr0p003_wd0p0001_dim128_mask0p5_seed0,0.003,0.0001,128,0.5
62,c062_lr0p003_wd0p0001_dim128_mask0p7_seed0,0.003,0.0001,128,0.7
63,c063_lr0p003_wd0p0005_dim32_mask0p3_seed0,0.003,0.0005,32,0.3
64,c064_lr0p003_wd0p0005_dim32_mask0p5_seed0,0.003,0.0005,32,0.5
65,c065_lr0p003_wd0p0005_dim32_mask0p7_seed0,0.003,0.0005,32,0.7
66,c066_lr0p003_wd0p0005_dim64_mask0p3_seed0,0.003,0.0005,64,0.3
67,c067_lr0p003_wd0p0005_dim64_mask0p5_seed0,0.003,0.0005,64,0.5
68,c068_lr0p003_wd0p0005_dim64_mask0p7_seed0,0.003,0.0005,64,0.7
69,c069_lr0p003_wd0p0005_dim128_mask0p3_seed0,0.003,0.0005,128,0.3
70,c070_lr0p003_wd0p0005_dim128_mask0p5_seed0,0.003,0.0005,128,0.5
71,c071_lr0p003_wd0p0005_dim128_mask0p7_seed0,0.003,0.0005,128,0.7
72,c072_lr0p003_wd0p001_dim32_mask0p3_seed0,0.003,0.001,32,0.3
73,c073_lr0p003_wd0p001_dim32_mask0p5_seed0,0.003,0.001,32,0.5
74,c074_lr0p003_wd0p001_dim32_mask0p7_seed0,0.003,0.001,32,0.7
75,c075_lr0p003_wd0p001_dim64_mask0p3_seed0,0.003,0.001,64,0.3
76,c076_lr0p003_wd0p001_dim64_mask0p5_seed0,0.003,0.001,64,0.5
77,c077_lr0p003_wd0p001_dim64_mask0p7_seed0,0.003,0.001,64,0.7
78,c078_lr0p003_wd0p001_dim128_mask0p3_seed0,0.003,0.001,128,0.3
79,c079_lr0p003_wd0p001_dim128_mask0p5_seed0,0.003,0.001,128,0.5
80,c080_lr0p003_wd0p001_dim128_mask0p7_seed0,0.003,0.001,128,0.7
